x1,y1,x2,y2
36,685,814,890
814,890,44,705
44,705,956,708
956,708,588,993
588,993,963,690
963,690,38,690
38,690,151,143
151,143,972,334
972,334,337,28
337,28,40,696
40,696,958,702
958,702,897,197
897,197,212,92
212,92,6,573
6,573,998,548
998,548,725,54
725,54,649,978
649,978,49,716
49,716,863,845
863,845,937,257
937,257,143,151
143,151,836,130
836,130,268,58
268,58,78,768
78,768,658,975
658,975,182,886
182,886,730,945
730,945,334,972
334,972,685,36
685,36,1000,488
1000,488,779,916
779,916,69,752
69,752,831,876
831,876,299,958
299,958,52,279
52,279,119,824
119,824,413,8
413,8,59,265
59,265,453,3
453,3,7,422
7,422,986,379
986,379,13,388
13,388,450,3
450,3,64,257
64,257,407,9
407,9,958,299
958,299,485,1
485,1,548,998
548,998,999,457
999,457,394,989
394,989,984,373
984,373,716,952
716,952,973,337
973,337,107,192
107,192,845,138
845,138,192,107
192,107,5,569
5,569,924,766
924,766,869,163
869,163,184,113
184,113,444,997
444,997,1000,482
1000,482,1,519
1,519,994,422
994,422,760,928
760,928,72,758
72,758,37,314
37,314,982,367
982,367,98,204
98,204,182,886
182,886,419,7
419,7,607,989
607,989,204,903
204,903,1,469
1,469,235,924
235,924,594,992
594,992,928,760
928,760,410,992
410,992,884,822
884,822,25,655
25,655,238,75
238,75,763,75
763,75,288,48
288,48,725,54
725,54,994,579
994,579,2,535
2,535,939,741
939,741,943,268
943,268,500,1
500,1,954,290
954,290,31,328
31,328,928,241
928,241,888,817
888,817,204,903
204,903,637,982
637,982,100,799
100,799,513,1000
513,1000,179,117
179,117,797,98
797,98,187,890
187,890,1,482
1,482,355,979
355,979,705,44
705,44,979,646
979,646,19,637
19,637,1000,479
1000,479,856,852
856,852,873,167
873,167,1,516
1,516,175,880
175,880,282,51
282,51,817,113
817,113,42,302
42,302,690,38
690,38,349,977
349,977,23,649
23,649,233,78
233,78,11,600
11,600,914,782
914,782,937,257
937,257,507,1
507,1,909,212
909,212,70,246
70,246,401,11
401,11,246,931
246,931,5,432
5,432,1000,475
1000,475,834,873
834,873,425,995
425,995,863,845
863,845,19,637
19,637,990,600
990,600,670,971
670,971,70,755
70,755,33,322
33,322,55,727
55,727,952,716
952,716,950,282
950,282,36,316
36,316,854,147
854,147,170,125
170,125,1,494
1,494,961,696
961,696,4,557
4,557,491,1
491,1,982,367
982,367,634,19
634,19,290,47
290,47,708,45
708,45,622,986
622,986,227,919
227,919,361,20
361,20,73,241
73,241,113,817
113,817,607,989
607,989,876,170
876,170,117,179
117,179,576,6
576,6,3,450
3,450,999,538
999,538,792,907
792,907,54,725
54,725,953,713
953,713,894,192
894,192,526,1
526,1,3,450
3,450,314,37
314,37,7,422
7,422,978,352
978,352,871,836
871,836,254,936
254,936,936,747
936,747,394,989
394,989,716,49
716,49,243,72
243,72,750,67
750,67,673,970
673,970,918,225
918,225,507,1000
507,1000,130,836
130,836,802,899
802,899,457,999
457,999,824,882
824,882,779,85
779,85,217,89
217,89,7,422
7,422,305,40
305,40,687,37
687,37,325,32
325,32,450,998
450,998,829,878
829,878,998,551
998,551,799,100
799,100,982,637
982,637,2,541
2,541,999,544
999,544,819,886
819,886,80,771
80,771,416,993
416,993,996,569
996,569,47,711
47,711,422,994
422,994,838,869
838,869,24,652
24,652,325,969
325,969,65,254
65,254,916,222
916,222,1,494
1,494,994,419
994,419,8,413
8,413,299,43
299,43,391,988
391,988,91,787
91,787,807,896
807,896,522,1000
522,1000,976,655
976,655,954,290
954,290,962,693
962,693,702,43
702,43,249,69
249,69,744,64
744,64,999,535
999,535,1,532
1,532,1000,507
1000,507,75,763
75,763,519,1000
519,1000,929,758
929,758,942,265
942,265,901,799
901,799,591,9
591,9,358,980
358,980,998,450
998,450,17,628
17,628,491,1
491,1,43,299
43,299,655,25
655,25,334,29
334,29,1,479
1,479,199,899
199,899,696,961
696,961,314,964
314,964,27,661
27,661,964,687
964,687,585,993
585,993,214,910
214,910,2,460
2,460,988,388
988,388,28,337
28,337,51,719
51,719,834,873
834,873,836,130
836,130,207,96
207,96,831,125
831,125,425,6
425,6,619,986
619,986,919,774
919,774,554,998
554,998,971,670
971,670,903,204
903,204,80,230
80,230,852,145
852,145,1,497
1,497,182,886
182,886,931,755
931,755,588,993
588,993,268,943
268,943,11,401
11,401,992,410
992,410,16,625
16,625,986,382
986,382,32,325
32,325,865,158
865,158,187,111
187,111,4,563
4,563,167,873
167,873,942,736
942,736,98,797
98,797,995,576
995,576,843,865
843,865,416,993
416,993,1000,482
1000,482,4,438
4,438,241,928
241,928,544,999
544,999,869,163
869,163,28,337
28,337,36,685
36,685,147,147
147,147,934,251
934,251,18,370
18,370,965,316
965,316,379,15
379,15,65,254
65,254,444,4
444,4,817,113
817,113,230,80
230,80,779,85
779,85,115,182
115,182,450,3
450,3,752,69
752,69,299,43
299,43,628,17
628,17,340,27
340,27,77,235
77,235,140,847
140,847,784,912
784,912,996,435
996,435,194,896
194,896,890,814
890,814,1000,497
1000,497,64,744
64,744,32,325
32,325,926,238
926,238,867,840
867,840,40,696
40,696,961,696
961,696,949,279
949,279,640,20
640,20,981,361
981,361,130,165
130,165,5,566
5,566,346,976
346,976,104,804
104,804,711,954
711,954,967,319
967,319,982,637
982,637,961,305
961,305,26,343
26,343,33,679
33,679,997,438
997,438,14,616
14,616,438,997
438,997,755,931
755,931,161,867
161,867,1,529
1,529,1000,504
1000,504,867,840
867,840,631,983
631,983,219,914
219,914,882,824
882,824,861,154
861,154,192,107
192,107,8,416
8,416,977,349
977,349,649,23
649,23,44,296
44,296,472,1
472,1,51,282
51,282,782,87
782,87,279,52
279,52,172,878
172,878,591,992
591,992,319,967
319,967,750,934
750,934,991,404
991,404,619,15
619,15,352,23
352,23,585,8
585,8,352,978
352,978,98,204
98,204,886,182
886,182,165,130
165,130,9,410
9,410,154,140
154,140,912,217
912,217,975,658
975,658,482,1000
482,1000,741,939
741,939,89,784
89,784,37,314
37,314,296,957
296,957,47,711
47,711,352,23
352,23,566,5
566,5,44,296
44,296,814,111
814,111,526,1
526,1,934,251
934,251,39,308
39,308,82,774
82,774,952,716
952,716,619,986
619,986,892,812
892,812,997,563
997,563,413,993
413,993,134,840
134,840,2,541
2,541,115,819
115,819,993,585
993,585,428,995
428,995,75,763
75,763,265,59
265,59,649,23
649,23,929,243
929,243,6,576
6,576,880,175
880,175,1000,529
1000,529,792,907
792,907,485,1000
485,1000,812,892
812,892,999,541
999,541,733,58
733,58,316,36
316,36,78,233
78,233,282,51
282,51,388,988
388,988,984,373
984,373,13,613
13,613,26,343
