p1,p2,R,G,B
87,84,163,80,36
84,86,163,80,36
86,83,163,80,36
83,87,163,80,36
87,84,163,80,36
84,128,163,80,36
128,105,163,80,36
105,102,163,80,36
102,104,163,80,36
104,101,163,80,36
101,24,163,80,36
24,100,163,80,36
100,104,163,80,36
104,101,163,80,36
101,106,163,80,36
106,102,163,80,36
102,105,163,80,36
105,44,163,80,36
44,100,163,80,36
100,104,163,80,36
104,83,163,80,36
83,87,163,80,36
87,10,163,80,36
10,67,163,80,36
67,12,163,80,36
12,82,163,80,36
82,88,163,80,36
88,84,163,80,36
84,137,163,80,36
137,122,163,80,36
122,125,163,80,36
125,36,163,80,36
36,121,163,80,36
121,126,163,80,36
126,122,163,80,36
122,137,163,80,36
137,61,163,80,36
61,147,163,80,36
147,72,163,80,36
72,22,163,80,36
22,71,163,80,36
71,115,163,80,36
115,111,163,80,36
111,114,163,80,36
114,112,163,80,36
112,115,163,80,36
115,111,163,80,36
111,116,163,80,36
116,68,163,80,36
68,128,163,80,36
128,105,163,80,36
105,102,163,80,36
102,106,163,80,36
106,101,163,80,36
101,104,163,80,36
104,100,163,80,36
100,131,163,80,36
131,123,163,80,36
123,141,163,80,36
141,73,163,80,36
73,112,163,80,36
112,115,163,80,36
115,111,163,80,36
111,65,163,80,36
65,6,163,80,36
6,95,163,80,36
95,55,163,80,36
55,119,163,80,36
119,135,163,80,36
135,129,163,80,36
129,68,163,80,36
68,17,163,80,36
17,90,163,80,36
90,52,163,80,36
52,85,163,80,36
85,21,163,80,36
21,101,163,80,36
101,108,163,80,36
108,39,163,80,36
39,130,163,80,36
130,106,163,80,36
106,102,163,80,36
102,107,163,80,36
107,23,163,80,36
23,91,163,80,36
91,57,163,80,36
57,147,163,80,36
147,70,163,80,36
70,127,163,80,36
127,82,163,80,36
82,30,163,80,36
30,126,163,80,36
126,41,163,80,36
41,101,163,80,36
101,107,163,80,36
107,103,163,80,36
103,114,163,80,36
114,110,163,80,36
110,31,163,80,36
31,83,163,80,36
83,104,163,80,36
104,100,163,80,36
100,131,163,80,36
131,47,163,80,36
47,108,163,80,36
108,101,163,80,36
101,107,163,80,36
107,102,163,80,36
102,40,163,80,36
40,129,163,80,36
129,77,163,80,36
77,138,163,80,36
138,59,163,80,36
59,132,163,80,36
132,64,163,80,36
64,8,163,80,36
8,124,163,80,36
124,76,163,80,36
76,143,163,80,36
143,63,163,80,36
63,4,163,80,36
4,81,163,80,36
81,130,163,80,36
130,85,163,80,36
85,32,163,80,36
32,111,163,80,36
111,115,163,80,36
115,102,163,80,36
102,107,163,80,36
107,101,163,80,36
101,108,163,80,36
108,103,163,80,36
103,114,163,80,36
114,50,163,80,36
50,102,163,80,36
102,115,163,80,36
115,70,163,80,36
70,142,163,80,36
142,51,163,80,36
51,86,163,80,36
86,55,163,80,36
55,93,163,80,36
93,31,163,80,36
31,117,163,80,36
117,79,163,80,36
79,16,163,80,36
16,105,163,80,36
105,58,163,80,36
58,146,163,80,36
146,92,163,80,36
92,2,163,80,36
2,91,163,80,36
91,55,163,80,36
55,112,163,80,36
112,40,163,80,36
40,84,163,80,36
84,44,163,80,36
44,132,163,80,36
132,62,163,80,36
62,99,163,80,36
99,106,163,80,36
106,131,163,80,36
131,78,163,80,36
78,27,163,80,36
27,114,163,80,36
114,103,163,80,36
103,38,163,80,36
38,111,163,80,36
111,34,163,80,36
34,119,163,80,36
119,72,163,80,36
72,19,163,80,36
19,69,163,80,36
69,148,163,80,36
148,89,163,80,36
89,11,163,80,36
11,74,163,80,36
74,132,163,80,36
132,49,163,80,36
49,103,163,80,36
103,114,163,80,36
114,44,163,80,36
44,126,163,80,36
126,75,163,80,36
75,17,163,80,36
17,93,163,80,36
93,148,163,80,36
148,61,163,80,36
61,99,163,80,36
99,106,163,80,36
106,132,163,80,36
132,57,163,80,36
57,96,163,80,36
96,8,163,80,36
8,124,163,80,36
124,37,163,80,36
37,129,163,80,36
129,60,163,80,36
60,1,163,80,36
1,71,163,80,36
71,134,163,80,36
134,57,163,80,36
57,125,163,80,36
125,65,163,80,36
65,128,163,80,36
128,83,163,80,36
83,130,163,80,36
130,38,163,80,36
38,107,163,80,36
107,57,163,80,36
57,94,163,80,36
94,19,163,80,36
19,80,163,80,36
80,148,163,80,36
148,65,163,80,36
65,113,163,80,36
113,54,163,80,36
54,135,163,80,36
135,53,163,80,36
53,86,163,80,36
86,51,163,80,36
51,108,163,80,36
108,26,163,80,36
26,84,163,80,36
84,39,163,80,36
39,99,163,80,36
99,59,163,80,36
59,145,163,80,36
145,74,163,80,36
74,118,163,80,36
118,63,163,80,36
63,127,163,80,36
127,38,163,80,36
38,131,163,80,36
131,40,163,80,36
40,85,163,80,36
85,25,163,80,36
25,92,163,80,36
92,53,163,80,36
53,89,163,80,36
89,139,163,80,36
139,87,163,80,36
87,10,163,80,36
10,66,163,80,36
66,120,163,80,36
120,62,163,80,36
62,128,163,80,36
128,35,163,80,36
35,121,163,80,36
121,67,163,80,36
67,110,163,80,36
110,66,163,80,36
66,12,163,80,36
12,88,163,80,36
88,1,163,80,36
1,59,163,80,36
59,149,163,80,36
149,69,163,80,36
89,99,226,216,201
99,90,226,216,201
90,34,226,216,201
34,95,226,216,201
95,126,226,216,201
126,86,226,216,201
86,122,226,216,201
122,116,226,216,201
116,121,226,216,201
121,115,226,216,201
115,146,226,216,201
146,13,226,216,201
13,58,226,216,201
58,36,226,216,201
36,114,226,216,201
114,128,226,216,201
128,16,226,216,201
16,147,226,216,201
147,21,226,216,201
21,47,226,216,201
47,138,226,216,201
138,115,226,216,201
115,121,226,216,201
121,116,226,216,201
116,130,226,216,201
130,30,226,216,201
30,146,226,216,201
146,48,226,216,201
48,13,226,216,201
13,44,226,216,201
44,18,226,216,201
18,131,226,216,201
131,74,226,216,201
74,80,226,216,201
80,73,226,216,201
73,79,226,216,201
79,105,226,216,201
105,71,226,216,201
71,66,226,216,201
66,40,226,216,201
40,123,226,216,201
123,98,226,216,201
98,89,226,216,201
